"","Brand_Description","Price","Review_Count","Rating"
"18"," +24COOFANDYMen's Linen Shorts Casual Elastic Waist Drawstring Summer Beach Shorts  4.3 out of 5 stars 1,713  200+ bought in past monthLimited time deal   $17.41$17.41 List: $25.99$25.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 ","17.","1,713","4.3 out of 5 stars"
"19"," +16JMIERRMens Casual Twill Cargo Shorts Cotton Drawstring Classic Cargo Stretch Short with 6 Pockets  4.4 out of 5 stars 1,924  100+ bought in past monthLimited time deal   $23.78$23.78 List: $30.99$30.9915% coupon applied at checkoutSave 15%  with coupon (some sizes/colors) FREE delivery on $35 shipped by Amazon.","23.","1,924","4.4 out of 5 stars"
"20"," +10HanesMen's 2-Pack Cotton Knit Shorts Waistband & Pockets, Assorted Colors and Sizes  4.5 out of 5 stars 23,655  100+ bought in past month$19.98$19.98 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","19.","23,655","4.5 out of 5 stars"
"21"," +4Wrangler AuthenticsMen's Premium Twill Cargo Short  4.5 out of 5 stars 57,201  100+ bought in past monthLimited time deal   $22.30$22.30 List: $26.28$26.28 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","22.","57,201","4.5 out of 5 stars"
"22"," SavaneMen's 8” Stretch Hiking Cargo Shorts With Comfort Waistband, Sun Protection, Lightweight  4.6 out of 5 stars 3,195  50+ bought in past month$24.67$24.67 List: $29.99$29.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","24.","3,195","4.6 out of 5 stars"
"23"," +12PULIMen's Golf Hybrid Dress Shorts Casual Chino Stretch Flat Front Lightweight Quick Dry with Pockets  4.4 out of 5 stars 3,861  $29.99$29.99 List: $35.99$35.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","29.","3,861","4.4 out of 5 stars"
"24"," JYKHeated Pants, Smart Control 6 Heating Zones,10000mAh Battery Powered, 360° Surround Heating for Skiing, Cycling  4.2 out of 5 stars 136  50+ bought in past monthLimited time deal   $69.98$69.98 Typical: $99.99$99.99 FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 ","69.","136","4.2 out of 5 stars"
"25"," +10Meripex ApparelMen's 5.5"" Inseam Elastic-Waist Short Shorts 4-Way Stretch  4.3 out of 5 stars 3,420  50+ bought in past month$34.99$34.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","34.","3,420","4.3 out of 5 stars"
"26"," +9LeeMen's Extreme Motion Flat Front Short  4.6 out of 5 stars 9,335  100+ bought in past month$27.34$27.34 List: $34.90$34.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","27.","9,335","4.6 out of 5 stars"
"27"," LeeMen's Extreme Motion Regular Fit Synthetic Flat Front Short  4.5 out of 5 stars 135  100+ bought in past month$34.99$34.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","34.","135","4.5 out of 5 stars"
"28"," +2Amazon EssentialsMen's Slim-Fit 7"" Lightweight Comfort Stretch Oxford Short (Previously Goodthreads)  4.4 out of 5 stars 2,999  100+ bought in past monthLimited time deal   $21.20$21.20 List: $25.00$25.00 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","21.","2,999","4.4 out of 5 stars"
"29"," +2ChubbiesMens Shorts 7"" Inseam Updated Fit Stretch Casual Chino Khaki Shorts  4.2 out of 5 stars 256  $59.50$59.50 FREE delivery Wed, Feb 14 Or fastest delivery Mon, Feb 12 ","59.","256","4.2 out of 5 stars"
"30"," Wrangler AuthenticsMen’s Comfort Flex Waistband Jean Short  4.6 out of 5 stars 13,862  50+ bought in past month$27.31$27.31 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","27.","13,862","4.6 out of 5 stars"
"31"," +19QuiksilverMen's Union Amphibian Hybrid 20 Inch Outseam Water Friendly Short  4.7 out of 5 stars 2,128  50+ bought in past month$36.40$36.40 List: $52.00$52.00 FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Prime Try Before You Buy","36.","2,128","4.7 out of 5 stars"
"32"," +11UNIONBAYMen's Cordova Belted Messenger Cargo Short - Reg and Big and Tall Sizes  4.5 out of 5 stars 37,331  50+ bought in past month$32.95$32.95 List: $48.00$48.00 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","32.","37,331","4.5 out of 5 stars"
"33"," +15Amazon EssentialsMen's 6"" Inseam Drawstring Walk Short  4.4 out of 5 stars 5,605  50+ bought in past month$23.70$23.70 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","23.","5,605","4.4 out of 5 stars"
"34"," +36QPNGRPMens Shorts Casual Drawstring Zipper Pockets Elastic Waist  4.4 out of 5 stars 21,068  100+ bought in past month$23.99$23.99 List: $29.99$29.9918% coupon applied at checkoutSave 18%  with coupon (some sizes/colors)  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","23.","21,068","4.4 out of 5 stars"
"35"," Wrangler AuthenticsMen's Loose Fit Carpenter Short  4.5 out of 5 stars 14,695  50+ bought in past month$26.46$26.46 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","26.","14,695","4.5 out of 5 stars"
"36"," +3Wrangler AuthenticsMen's Stretch Twill Cargo Shorts  4.5 out of 5 stars 3,492  100+ bought in past month$19.97$19.97 List: $28.89$28.89 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","19.","3,492","4.5 out of 5 stars"
"37"," +26SOLY HUXMen's Cartoon Print Elastic High Waisted Casual Summer Shorts  4.3 out of 5 stars 940  50+ bought in past month$23.99$23.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 ","23.","940","4.3 out of 5 stars"
"38"," ScubaproMen's Cargo Shorts  4.0 out of 5 stars 50  $139.00$139.00 FREE delivery Thu, Feb 15 Or fastest delivery Tue, Feb 13 Prime Try Before You BuyMore Buying Choices$135.00(15 new offers)","139.","50","4.0 out of 5 stars"
"39"," +15HaggarMen's Cool 18 Pro Straight Fit 4-Way Stretch Flat Front Expandable Waist Short with Big & Tall Sizes  4.5 out of 5 stars 7,029  100+ bought in past month$26.07$26.07 List: $55.00$55.00 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","26.","7,029","4.5 out of 5 stars"
"40"," +13COOFANDYMen’s Linen Short Elastic Waist Drawstring Casual Summer Beach Shorts  4.0 out of 5 stars 318  50+ bought in past month$24.99$24.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","24.","318","4.0 out of 5 stars"
"41"," +7TansozerMen's Shorts Casual Classic Fit Drawstring Summer Beach Shorts with Elastic Waist and Pockets  4.1 out of 5 stars 31,655  50+ bought in past month$26.99$26.99 List: $30.99$30.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Fri, Feb 16 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","26.","31,655","4.1 out of 5 stars"
"42"," +18LeeMen's Dungarees New Belted Wyoming Cargo Short  4.5 out of 5 stars 19,415  50+ bought in past month$28.13$28.13 List: $34.90$34.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You BuyMore Buying Choices$27.33(6 new offers)","28.","19,415","4.5 out of 5 stars"
"43"," +2Amazon EssentialsMen's Performance Stretch Woven 7"" Training Short  4.4 out of 5 stars 1,876  50+ bought in past month$22.80$22.80 List: $23.90$23.90 FREE delivery Thu, Feb 15 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyAmazon brand","22.","1,876","4.4 out of 5 stars"
"44"," Wrangler AuthenticsMen's Classic Relaxed Fit Cargo Short  4.5 out of 5 stars 15,934  50+ bought in past month$26.33$26.33 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","26.","15,934","4.5 out of 5 stars"
"45"," HurleyMen's H2o-dri Cutback 21"" Walkshort  4.5 out of 5 stars 133  50+ bought in past month$38.52$38.52 List: $65.00$65.00 FREE delivery Wed, Feb 14 Or fastest delivery Mon, Feb 12 Prime Try Before You BuyMore Buying Choices$38.00(5 new offers)","38.","133","4.5 out of 5 stars"
"46"," +1VolcomMen's Kerosene 21"" Hybrid Chino Shorts  4.6 out of 5 stars 1,759  50+ bought in past month$34.99$34.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","34.","1,759","4.6 out of 5 stars"
"47"," +10Amazon EssentialsMen's Classic-Fit 7"" Short  4.4 out of 5 stars 13,832  50+ bought in past month$21.80$21.80 List: $22.90$22.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","21.","13,832","4.4 out of 5 stars"
"48"," +8LeeMen's Extreme Motion Carolina Cargo Short  4.7 out of 5 stars 2,135  50+ bought in past monthLimited time deal   $21.60$21.60 List: $34.90$34.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","21.","2,135","4.7 out of 5 stars"
