"","Brand_Description","Price","Review_Count","Rating"
"11"," Philips Hue Bridge - Unlock the Full Potential of Hue - Multi-Room and Out-of-Home Control - Secure, Stable Connection Won't Strain Your Wi-Fi - Works with Voice, Matter  4.5 out of 5 stars 10,090  3K+ bought in past month$42.90$42.90 List: $59.99$59.99FREE deliveryOnly 17 left in stock - order soon.Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$29.69(46 used & new offers)","42.","10,090","4.5 out of 5 stars"
"12"," DAYBETTER Smart WiFi Led Lights 100ft, Tuya App Controlled Led Strip Lights, Work with Alexa and Google Assistant, Timer Schedule , Color Changing Led Lights for Bedroom Party Kitchen  LED4.4 out of 5 stars 21,768  3K+ bought in past month$29.99$29.99 ($0.30$0.30/Foot)40% coupon applied at checkoutSave 40%  with coupon  FREE delivery Fri, Feb 16 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$23.08(4 used & new offers)","29.","LED","4.4 out of 5 stars"
"13"," GE CYNC A19 Smart LED Light Bulbs, Room Décor Aesthetic Color Changing WiFi Lights, LED Indoor Light Bulb, Works with Amazon Alexa and Google (2 Pack)  LED4.4 out of 5 stars 10,520  3K+ bought in past month$23.99$23.99 ($12.00$12.00/Count) FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$10.24(16 used & new offers)","23.","LED","4.4 out of 5 stars"
"14"," Govee LED Light Bulb Dimmable, Music Sync Color Changing, A19 7W 60W Equivalent, No Hub Required Multicolor Bluetooth Light Bulbs with App Control for Party Home (Don't Support WiFi/Alexa)  LED4.6 out of 5 stars 28,223  3K+ bought in past month$13.99$13.99$2.00 coupon applied at checkoutSave $2.00  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","13.","LED","4.6 out of 5 stars"
"15"," Nexillumi LED Lights for TV 60-75 Inch  LED4.4 out of 5 stars 23,377  3K+ bought in past month$12.99$12.99 ($0.79$0.79/Foot)$3.00 coupon applied at checkoutSave $3.00  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","12.","LED","4.4 out of 5 stars"
"16"," Philips Hue Smart 60W A19 LED Bulb - Soft Warm White Light - 4 Pack - 800LM - E26 - Indoor - Control with Hue App - Works with Alexa, Google Assistant and Apple Homekit  LED4.7 out of 5 stars 7,828  2K+ bought in past month$49.99$49.99 ($12.50$12.50/Count) FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$37.62(6 used & new offers)","49.","LED","4.7 out of 5 stars"
"17"," Govee Smart LED Strip Lights for Bedroom, 32.8ft WiFi LED Strip Lighting Work with Alexa Google Assistant, 16 Million Colors with App Control and Music Sync LED Lights for Party, 2 Rolls of 16.4ft  LED4.5 out of 5 stars 60,583  2K+ bought in past month$32.99$32.99 ($1.01$1.01/Foot) List: $39.99$39.9925% coupon applied at checkoutSave 25%  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$31.00(4 used & new offers)","32.","LED","4.5 out of 5 stars"
"18"," +2 colors/patternsSengled Smart WiFi Light Bulbs That Work with Alexa & Google Home, No Hub Required, LED Light Bulb A19 RGB Alexa Light Bulb , 2 Pack  LED4.3 out of 5 stars 7,332  2K+ bought in past month$16.99$16.99 ($8.50$8.50/Count) FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$13.58(7 used & new offers)","16.","LED","4.3 out of 5 stars"
"19"," Govee 65.6ft RGBIC LED Strip Lights, Color Changing LED Strips, App Control via Bluetooth, Smart Segmented Control, Multiple Scenes, Enhanced Music Sync LED Lights for Room Decor, Party (2 X 32.8ft)  LED4.6 out of 5 stars 18,529  1K+ bought in past month$64.99$64.99 ($0.99$0.99/Foot)$12.00 coupon applied at checkoutSave $12.00  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 More Buying Choices$54.35(2 used & new offers)","64.","LED","4.6 out of 5 stars"
"20"," Govee Glide LED Wall Lights, RGBIC Wall Lights, Works with Alexa and Google Assistant, Smart Glide Lively Light Bars for Gaming Room and Streaming, Multicolor Glide Sconces, 6 pcs  Options:2 sizes4.5 out of 5 stars 2,077  1K+ bought in past month$67.49$67.49 ($11.25$11.25/Count)$20.00 coupon applied at checkoutSave $20.00  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$44.62(8 used & new offers)","67.","2,077","4.5 out of 5 stars"
"21"," Govee RGBIC Table Lamp, Smart Lamp Work with Alexa, LED Lamp with Music Sync and 43 Scene Modes, Color Changing Lamp for Bedroom Decor, Dimmable Night Light (Corded Electric)  4.7 out of 5 stars 2,814  1K+ bought in past month$59.00$59.0020% coupon applied at checkoutSave 20%  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. ","59.","2,814","4.7 out of 5 stars"
"22"," Kasa Smart LED Light Strip, 16.4ft WiFi LED Strip Works with Alexa, Google Home, SmartThings, High Brightness with 16 Million Colors, RGB, Grouping, Adjustable Length, Up to 25,000 Hours (KL400L5)  LED4.4 out of 5 stars 3,948  1K+ bought in past month$18.99$18.99 ($1.16$1.16/Foot) List: $24.99$24.99$2.00 coupon applied at checkoutSave $2.00  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$12.74(9 used & new offers)","18.","LED","4.4 out of 5 stars"
"23"," TREATLIFE Smart Light Bulbs 4 Pack, UL Certified 2.4GHz Color Changing Light Bulb, Works with Alexa Google Home, A19 E26 Dimmable LED Light Bulb 9W 800 Lumen for Party Decoration, Smart Home Lighting  LED4.4 out of 5 stars 17,081  1K+ bought in past monthLimited time deal   $26.38$26.38 ($6.60$6.60/Count) List: $39.99$39.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$26.12(4 used & new offers)","26.","LED","4.4 out of 5 stars"
"24"," Govee TV LED Backlights, App Control TV LED Strip Lights, 7 Scene Modes & DIY Mode, 6.56FT Easy Installation USB LED TV Lights for 40-60 inch TVs, Computer, Bedroom, Gaming Monitor  LED4.4 out of 5 stars 10,006  1K+ bought in past month$12.99$12.9915% coupon applied at checkoutSave 15%  with coupon  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 ","12.","LED","4.4 out of 5 stars"
