"","Brand_Description","Price","Review_Count","Rating"
"11"," 962 Cyan, Magenta, Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN  4.7 out of 5 stars 9,618  20K+ bought in past month$69.89$69.89 ($23.30$23.30/Count)Save more with Subscribe & Save FREE delivery Sun, Feb 11 Or fastest delivery Fri, Feb 9 ","69.","9,618","4.7 out of 5 stars"
"12"," 63 Black/Tri-color Ink (2-pack) | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | L0R46AN  4.7 out of 5 stars 41,352  20K+ bought in past month$54.89$54.89 ($27.45$27.45/Count)Save more with Subscribe & Save FREE delivery Sun, Feb 11 Or fastest delivery Fri, Feb 9 ","54.","41,352","4.7 out of 5 stars"
"13"," 65 Black/Tri-color Ink Cartridges (2-pack) | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | T0A36AN  4.7 out of 5 stars 36,561  20K+ bought in past month$35.89$35.89 ($17.95$17.95/Count)Save more with Subscribe & Save FREE delivery Sun, Feb 11 Or fastest delivery Fri, Feb 9 ","35.","36,561","4.7 out of 5 stars"
"14"," 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN  4.7 out of 5 stars 14,267  10K+ bought in past month$79.89$79.89 ($26.63$26.63/Count)Save more with Subscribe & SaveFREE delivery Fri, Feb 9 ","79.","14,267","4.7 out of 5 stars"
"15"," 61 Black Ink Cartridge | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; ENVY 4500, 5530; OfficeJet 2620, 4630 Series | Eligible for Instant Ink | CH561WN  4.7 out of 5 stars 63,568  20K+ bought in past month$23.89$23.89 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","23.","63,568","4.7 out of 5 stars"
"16"," 64 Black Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J90AN  4.7 out of 5 stars 30,583  20K+ bought in past month$20.89$20.89Save more with Subscribe & Save FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) ECOLOGO","20.","30,583","4.7 out of 5 stars"
"17"," Canon PG-243 Compatible to MG2525,MG3020,TR4520/4522,TS202,TS302,TS3120/3122,TS3320/3322 Printers  4.6 out of 5 stars 64,716  8K+ bought in past month$16.00$16.00 List: $16.99$16.99Save more with Subscribe & Save FREE delivery Mon, Feb 12 on $35 of items shipped by AmazonPrice may vary by color","16.","64,716","4.6 out of 5 stars"
"18"," 902 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T0A38AN  4.6 out of 5 stars 19,367  10K+ bought in past month$44.89$44.89 ($14.96$14.96/Count)Save more with Subscribe & Save FREE delivery Mon, Feb 12 ","44.","19,367","4.6 out of 5 stars"
"19"," Canon PG-260 / CL-261 Value Pack, Compatible to TR7020, TS6420, and TS5320 Printers, Multi, Once Size  4.7 out of 5 stars 4,970  7K+ bought in past month$30.00$30.00 ($15.00$15.00/Count) List: $39.99$39.99Save more with Subscribe & Save FREE delivery Tue, Feb 13 on $35 of items shipped by Amazon","30.","4,970","4.7 out of 5 stars"
"20"," 62 Black/Tri-color Ink (2-pack) | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | N9H64FN  4.7 out of 5 stars 24,886  10K+ bought in past month$43.89$43.89 ($21.95$21.95/Count)Save more with Subscribe & Save FREE delivery Mon, Feb 12 ","43.","24,886","4.7 out of 5 stars"
"21"," Canon PGI-280XL/CLI-281 5 Color Pack Compatible to TR8520, TR7520, TS9120 Series,TS8120 Series, TS6120 Series  4.7 out of 5 stars 10,009  7K+ bought in past month$65.00$65.00 ($13.00$13.00/Count) List: $71.99$71.99FREE delivery Feb 12 - 13 Or fastest delivery Thu, Feb 8 Only 16 left in stock - order soon.","65.","10,009","4.7 out of 5 stars"
"22"," 67XL Tri-color High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM58AN  4.7 out of 5 stars 24,798  20K+ bought in past month$29.89$29.89Save more with Subscribe & Save FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","29.","24,798","4.7 out of 5 stars"
"23"," 62 Black Ink Cartridge | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P04AN  4.7 out of 5 stars 30,138  10K+ bought in past month$20.89$20.89Save more with Subscribe & Save FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","20.","30,138","4.7 out of 5 stars"
"24"," 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J92AN  4.7 out of 5 stars 21,471  20K+ bought in past month$50.89$50.89Save more with Subscribe & SaveFREE delivery Fri, Feb 9 Or fastest delivery Thu, Feb 8 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) ECOLOGO","50.","21,471","4.7 out of 5 stars"
